"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1417","Robo Call UI page load validation","UI Sanity","2026-06-05","passed","2026-06-05","sanity.dashboard.DashboardPagesTest","Test","sanity.dashboard.DashboardPagesTest","roboCallUiPageLoadValidation"
"","2917","Security Dashboard UI page load validation","UI Sanity","2026-06-05","passed","2026-06-05","sanity.dashboard.DashboardPagesTest","Test","sanity.dashboard.DashboardPagesTest","securityDashboardUiPageLoadValidation"
"","608","Fraud Activity UI page load validation","UI Sanity","2026-06-05","passed","2026-06-05","sanity.dashboard.DashboardPagesTest","Test","sanity.dashboard.DashboardPagesTest","fraudActivityUiPageLoadValidation"
"","1197","STIR SHAKEN Dashboard UI page load validation","UI Sanity","2026-06-05","passed","2026-06-05","sanity.dashboard.DashboardPagesTest","Test","sanity.dashboard.DashboardPagesTest","stirShakenDashboardUiPageLoadValidation"
"","1372","UC Analytics UI page load validation","UI Sanity","2026-06-05","passed","2026-06-05","sanity.dashboard.DashboardPagesTest","Test","sanity.dashboard.DashboardPagesTest","ucAnalyticsUiPageLoadValidation"
"","859","Blocked Calls UI page load validation","UI Sanity","2026-06-05","passed","2026-06-05","sanity.dashboard.DashboardPagesTest","Test","sanity.dashboard.DashboardPagesTest","blockedCallsUiPageLoadValidation"
"","1341","Call Statistics UI page load validation","UI Sanity","2026-06-05","passed","2026-06-05","sanity.dashboard.DashboardPagesTest","Test","sanity.dashboard.DashboardPagesTest","callStatisticsUiPageLoadValidation"
"","1782","Attacks Map UI page load validation","UI Sanity","2026-06-05","passed","2026-06-05","sanity.dashboard.DashboardPagesTest","Test","sanity.dashboard.DashboardPagesTest","attacksMapUiPageLoadValidation"
"","13619","Initialize application information for execution report","UI Sanity","2026-06-05","passed","2026-06-05","sanity.login.LoginPageTest","Test","sanity.login.LoginPageTest","applicationVersionVerification"
"","1489","Financial Dashboard UI page load validation","UI Sanity","2026-06-05","passed","2026-06-05","sanity.dashboard.DashboardPagesTest","Test","sanity.dashboard.DashboardPagesTest","financialDashboardUiPageLoadValidation"
"","955","Fraud Alerts UI page load validation","UI Sanity","2026-06-05","passed","2026-06-05","sanity.dashboard.DashboardPagesTest","Test","sanity.dashboard.DashboardPagesTest","fraudAlertsUiPageLoadValidation"
"","2392","Main Dashboard UI page load validation","UI Sanity","2026-06-05","passed","2026-06-05","sanity.dashboard.DashboardPagesTest","Test","sanity.dashboard.DashboardPagesTest","mainDashboardUiPageLoadValidation"
"","1839","Active Calls Map UI page load validation","UI Sanity","2026-06-05","passed","2026-06-05","sanity.dashboard.DashboardPagesTest","Test","sanity.dashboard.DashboardPagesTest","activeCallsMapUiPageLoadValidation"
